chrom	start	end	window_start	window_end	rel_disruption_start	rel_disruption_end	type
chr1	4770000	4780000	4120784	5431504	647168	649216	down1
chr1	5900000	5910000	5250784	6561504	647168	649216	down1
chr1	9540000	9550000	8890784	10201504	647168	649216	down1
chr1	11650000	11660000	11000784	12311504	647168	649216	down1
chr1	14720000	14730000	14070784	15381504	647168	649216	down1
chr1	21410000	21420000	20760784	22071504	647168	649216	down1
chr1	38780000	38790000	38130784	39441504	647168	649216	down1
chr1	44740000	44750000	44090784	45401504	647168	649216	down1
chr1	55400000	55410000	54750784	56061504	647168	649216	down1
chr1	67180000	67190000	66530784	67841504	647168	649216	down1
chr1	78720000	78730000	78070784	79381504	647168	649216	down1
chr1	86590000	86600000	85940784	87251504	647168	649216	down1
chr1	89630000	89640000	88980784	90291504	647168	649216	down1
chr1	98390000	98400000	97740784	99051504	647168	649216	down1
chr1	103790000	103800000	103140784	104451504	647168	649216	down1
chr1	119080000	119090000	118430784	119741504	647168	649216	down1
chr1	120580000	120590000	119930784	121241504	647168	649216	down1
chr1	126990000	127000000	126340784	127651504	647168	649216	down1
chr1	135130000	135140000	134480784	135791504	647168	649216	down1
chr1	144380000	144390000	143730784	145041504	647168	649216	down1
chr1	161730000	161740000	161080784	162391504	647168	649216	down1
chr1	167660000	167670000	167010784	168321504	647168	649216	down1
chr1	167930000	167940000	167280784	168591504	647168	649216	down1
chr1	179470000	179480000	178820784	180131504	647168	649216	down1
chr1	192720000	192730000	192070784	193381504	647168	649216	down1
chr10	5160000	5170000	4510784	5821504	647168	649216	down1
chr10	8240000	8250000	7590784	8901504	647168	649216	down1
chr10	13010000	13020000	12360784	13671504	647168	649216	down1
chr10	39520000	39530000	38870784	40181504	647168	649216	down1
chr10	42290000	42300000	41640784	42951504	647168	649216	down1
chr10	45040000	45050000	44390784	45701504	647168	649216	down1
chr10	45370000	45380000	44720784	46031504	647168	649216	down1
chr10	57440000	57450000	56790784	58101504	647168	649216	down1
chr10	60760000	60770000	60110784	61421504	647168	649216	down1
chr10	69650000	69660000	69000784	70311504	647168	649216	down1
chr10	70960000	70970000	70310784	71621504	647168	649216	down1
chr10	71420000	71430000	70770784	72081504	647168	649216	down1
chr10	102440000	102450000	101790784	103101504	647168	649216	down1
chr10	106600000	106610000	105950784	107261504	647168	649216	down1
chr11	7200000	7210000	6550784	7861504	647168	649216	down1
chr11	25860000	25870000	25210784	26521504	647168	649216	down1
chr11	31940000	31950000	31290784	32601504	647168	649216	down1
chr11	40140000	40150000	39490784	40801504	647168	649216	down1
