	chrom	start	end	region	is_bad_bin	log2_insulation_score_200000	n_valid_pixels_200000	boundary_strength_200000	is_boundary_200000
0	chr1	4400000	4410000	chr1	False	-0.4258155733204405	358.0	1.0133742739895626	True
1	chr1	4770000	4780000	chr1	False	-0.4891561421204614	397.0	1.0029223645532397	True
2	chr1	5150000	5160000	chr1	False	-0.2319622634276172	377.0	0.498138026992094	True
3	chr1	5900000	5910000	chr1	False	-0.4044046781314687	397.0	0.8737380268640735	True
4	chr1	6190000	6200000	chr1	False	-0.452379377939026	397.0	0.9641782460789798	True
5	chr1	6430000	6440000	chr1	True	-0.3878894872723273	342.0	0.3911664511006976	True
6	chr1	6980000	6990000	chr1	False	-0.4507107049404765	397.0	0.9488598159728558	True
7	chr1	7230000	7240000	chr1	True	-0.3159936348347439	342.0	0.5634639533770909	True
8	chr1	8960000	8970000	chr1	False	-0.0466619231069907	357.0	0.2793935349097811	True
9	chr1	9540000	9550000	chr1	False	-0.5550127182496928	397.0	1.0801906658076184	True
10	chr1	9730000	9740000	chr1	False	-0.179080592679181	397.0	0.3724299168148974	True
11	chr1	10220000	10230000	chr1	False	-0.5847600197207294	377.0	1.0614265673125856	True
12	chr1	10790000	10800000	chr1	False	-0.3474016558955267	377.0	0.6724409236341249	True
13	chr1	11140000	11150000	chr1	False	-0.1472047436161875	377.0	0.3970746796972057	True
14	chr1	11650000	11660000	chr1	False	-0.6461598940929112	337.0	1.0317948124158642	True
15	chr1	12840000	12850000	chr1	False	-0.5121208899521004	397.0	0.8063559636472164	True
16	chr1	13760000	13770000	chr1	True	-1.4037010102146803	324.0	2.3081327111308534	True
17	chr1	14110000	14120000	chr1	True	-0.0507926774005182	342.0	0.3552059809819615	True
18	chr1	14720000	14730000	chr1	False	-0.3648740245335084	397.0	0.477701043021122	True
19	chr1	14990000	15000000	chr1	False	-0.5812636002871332	377.0	1.0055617666236143	True
20	chr1	15630000	15640000	chr1	False	-0.5056232401192207	377.0	0.8839124029760861	True
