SCD_h1_m0_t0	SCD_h1_m0_t1	SCD_h1_m0_t2	SCD_h1_m0_t3	SCD_h1_m0_t4	SCD_h1_m0_t5	chrom	end	rel_disruption_end	rel_disruption_start	start	type	window_end	window_start	miss_per	ins16_min	cont_sum	raw_count
28.9	31.6	30.78	31.38	29.98	26.33	chr1	6440000	638976	636928	6430000	down6	7091504	5780784	14.98656756684868	-0.2366673797369003	103489.27984928925	1548229
19.08	23.0	23.4	22.11	22.56	18.77	chr1	6990000	679936	677888	6980000	up10	7641504	6330784	19.59539307441226	-0.1555494964122772	101235.87589846534	1447695
31.97	40.22	38.9	39.62	38.53	32.78	chr1	7240000	638976	636928	7230000	down6	7891504	6580784	20.293043633558664	-0.2112506330013275	88256.38216814288	1351407
21.6	23.02	14.69	14.59	16.72	13.99	chr1	10230000	626688	624640	10220000	down12	10881504	9570784	9.509098716034185	-0.2934841215610504	118880.62647496971	1842257
39.7	47.66	73.6	72.1	63.03	55.1	chr1	12850000	647168	645120	12840000	down2	13501504	12190784	5.383612811539353	-0.4408181011676788	105281.35045909794	2144923
29.97	31.33	54.44	58.88	44.75	40.4	chr1	13770000	675840	673792	13760000	up8	14421504	13110784	15.345652413468152	-0.4173730611801147	131696.9943590098	1746460
24.06	26.56	22.03	19.23	23.47	19.8	chr1	14120000	634880	632832	14110000	down8	14771504	13460784	14.98656756684868	-0.0807124972343444	111627.52249493972	1686112
49.97	63.72	69.2	68.9	65.1	55.16	chr1	15000000	667648	665600	14990000	up4	15651504	14340784	12.81609916061542	-0.1952954083681106	103634.70633456038	1585355
27.1	33.03	24.64	24.08	26.27	21.97	chr1	15640000	643072	641024	15630000	down4	16291504	14980784	14.266117969821671	-0.1945057958364486	96586.06044195929	1670988
18.81	22.64	25.75	25.16	24.45	21.14	chr1	16100000	675840	673792	16090000	up8	16751504	15440784	10.986476370697156	-0.3324477970600128	88030.44912682207	1641311
36.28	40.75	51.44	50.88	47.2	41.8	chr1	16460000	632832	630784	16450000	down9	17111504	15800784	16.77439212065251	-0.2864667177200317	84342.42284466192	1557212
62.22	76.25	91.75	87.0	83.75	70.3	chr1	17150000	673792	671744	17140000	up7	17801504	16490784	21.67922513669923	-0.3810581564903259	96042.05546737656	1400796
38.06	45.62	37.25	34.44	40.6	34.03	chr1	17650000	638976	636928	17640000	down6	18301504	16990784	20.293043633558664	-0.1712914407253265	81356.8283766968	1328130
47.5	59.16	72.94	73.5	66.3	56.66	chr1	18340000	679936	677888	18330000	up10	18991504	17680784	17.129677127625214	-0.2591990232467651	112040.25762096509	1262124
40.75	48.62	51.84	49.16	49.38	40.97	chr1	20300000	671744	669696	20290000	up6	20951504	19640784	17.484202166668567	-0.12939453125	107496.97580924198	1487889
25.17	28.27	46.44	48.56	38.7	34.75	chr1	20580000	634880	632832	20570000	down8	21231504	19920784	14.266117969821671	-0.2884901165962219	110636.7952455365	1534615
51.7	63.5	55.9	55.38	56.53	48.3	chr1	22280000	649216	647168	22270000	down1	22931504	21620784	17.484202166668567	-0.2431542873382568	88577.38610763851	1611590
32.22	38.53	43.7	42.97	40.4	35.12	chr1	23310000	673792	671744	23300000	up7	23961504	22650784	12.451694538490475	-0.1904740631580352	84228.74774442069	1705854
39.7	43.47	46.12	44.22	45.4	39.44	chr1	23730000	636928	634880	23720000	down7	24381504	23070784	12.451694538490475	-0.1609269827604293	95841.30383347228	1737722
27.6	30.38	47.78	49.25	39.9	36.06	chr1	24290000	673792	671744	24280000	up7	24941504	23630784	10.618271908925443	-0.3166176378726959	112006.93282258316	1686830
