	chrom	end	start	strand	SCD_m0	SCD_m1	SCD_m2	SCD_m3	SCD_m4	SCD_m5	SCD_m6	SCD_m7	SCD
0	chr4	87368268	87368249	+	101.0	90.56	80.94	83.06	99.3	84.94	87.94	97.2	90.56
1	chr1	109860827	109860808	-	95.2	87.75	94.06	92.3	85.5	92.44	81.3	84.8	89.2
2	chr3	22309188	22309169	+	84.7	79.3	77.2	73.94	91.94	66.2	91.94	86.3	81.5
3	chr1	5161770	5161751	-	74.9	74.6	75.9	79.2	83.75	80.3	78.9	86.0	79.2
4	chr1	71247702	71247683	+	93.25	65.2	61.5	68.25	66.44	64.94	56.53	72.25	68.56
5	chr1	72980067	72980048	-	69.94	68.2	76.56	64.56	56.78	66.9	73.0	70.6	68.3
6	chr6	60556001	60555982	+	68.56	63.9	63.9	59.6	69.0	72.44	79.0	64.94	67.7
7	chr5	7996919	7996900	-	68.06	62.0	76.8	64.2	62.4	60.66	58.97	75.3	66.06
8	chr1	12140114	12140095	-	70.94	60.66	63.9	76.9	63.34	67.06	60.34	57.75	65.1
9	chr1	81439574	81439555	+	67.1	50.22	76.3	60.22	59.6	73.94	75.5	56.53	64.94
