chrom	start	end	window_start	window_end	rel_disruption_start	rel_disruption_end	type
chr1	4400000	4410000	3750784	5061504	645120	647168	down2
chr1	5150000	5160000	4500784	5811504	645120	647168	down2
chr1	6190000	6200000	5540784	6851504	645120	647168	down2
chr1	6430000	6440000	5780784	7091504	645120	647168	down2
chr1	6980000	6990000	6330784	7641504	645120	647168	down2
chr1	7230000	7240000	6580784	7891504	645120	647168	down2
chr1	8960000	8970000	8310784	9621504	645120	647168	down2
chr1	9730000	9740000	9080784	10391504	645120	647168	down2
chr1	10220000	10230000	9570784	10881504	645120	647168	down2
chr1	10790000	10800000	10140784	11451504	645120	647168	down2
chr1	11140000	11150000	10490784	11801504	645120	647168	down2
chr1	12840000	12850000	12190784	13501504	645120	647168	down2
chr1	13760000	13770000	13110784	14421504	645120	647168	down2
chr1	14110000	14120000	13460784	14771504	645120	647168	down2
chr1	14990000	15000000	14340784	15651504	645120	647168	down2
chr1	15630000	15640000	14980784	16291504	645120	647168	down2
chr1	16090000	16100000	15440784	16751504	645120	647168	down2
chr1	16450000	16460000	15800784	17111504	645120	647168	down2
chr1	17140000	17150000	16490784	17801504	645120	647168	down2
chr1	17640000	17650000	16990784	18301504	645120	647168	down2
chr1	18330000	18340000	17680784	18991504	645120	647168	down2
chr1	19080000	19090000	18430784	19741504	645120	647168	down2
chr1	19990000	20000000	19340784	20651504	645120	647168	down2
chr1	20290000	20300000	19640784	20951504	645120	647168	down2
chr1	20570000	20580000	19920784	21231504	645120	647168	down2
chr1	21950000	21960000	21300784	22611504	645120	647168	down2
chr1	22270000	22280000	21620784	22931504	645120	647168	down2
chr1	22540000	22550000	21890784	23201504	645120	647168	down2
chr1	23300000	23310000	22650784	23961504	645120	647168	down2
chr1	23720000	23730000	23070784	24381504	645120	647168	down2
chr1	24280000	24290000	23630784	24941504	645120	647168	down2
chr1	24680000	24690000	24030784	25341504	645120	647168	down2
chr1	25520000	25530000	24870784	26181504	645120	647168	down2
chr1	25910000	25920000	25260784	26571504	645120	647168	down2
chr1	26820000	26830000	26170784	27481504	645120	647168	down2
chr1	27200000	27210000	26550784	27861504	645120	647168	down2
chr1	27730000	27740000	27080784	28391504	645120	647168	down2
chr1	28400000	28410000	27750784	29061504	645120	647168	down2
chr1	28790000	28800000	28140784	29451504	645120	647168	down2
chr1	30270000	30280000	29620784	30931504	645120	647168	down2
chr1	30690000	30700000	30040784	31351504	645120	647168	down2
chr1	30950000	30960000	30300784	31611504	645120	647168	down2
chr1	31170000	31180000	30520784	31831504	645120	647168	down2
chr1	32160000	32170000	31510784	32821504	645120	647168	down2
chr1	32710000	32720000	32060784	33371504	645120	647168	down2
chr1	33550000	33560000	32900784	34211504	645120	647168	down2
chr1	34450000	34460000	33800784	35111504	645120	647168	down2
chr1	34880000	34890000	34230784	35541504	645120	647168	down2
chr1	35480000	35490000	34830784	36141504	645120	647168	down2
chr1	35710000	35720000	35060784	36371504	645120	647168	down2
chr1	36130000	36140000	35480784	36791504	645120	647168	down2
chr1	36770000	36780000	36120784	37431504	645120	647168	down2
chr1	37250000	37260000	36600784	37911504	645120	647168	down2
chr1	37650000	37660000	37000784	38311504	645120	647168	down2
chr1	37880000	37890000	37230784	38541504	645120	647168	down2
chr1	38130000	38140000	37480784	38791504	645120	647168	down2
chr1	38990000	39000000	38340784	39651504	645120	647168	down2
chr1	39360000	39370000	38710784	40021504	645120	647168	down2
chr1	39540000	39550000	38890784	40201504	645120	647168	down2
chr1	39990000	40000000	39340784	40651504	645120	647168	down2
chr1	40850000	40860000	40200784	41511504	645120	647168	down2
chr1	41140000	41150000	40490784	41801504	645120	647168	down2
chr1	41800000	41810000	41150784	42461504	645120	647168	down2
chr1	42700000	42710000	42050784	43361504	645120	647168	down2
chr1	43100000	43110000	42450784	43761504	645120	647168	down2
chr1	43280000	43290000	42630784	43941504	645120	647168	down2
chr1	43740000	43750000	43090784	44401504	645120	647168	down2
chr1	44190000	44200000	43540784	44851504	645120	647168	down2
chr1	45200000	45210000	44550784	45861504	645120	647168	down2
chr1	45780000	45790000	45130784	46441504	645120	647168	down2
chr1	46090000	46100000	45440784	46751504	645120	647168	down2
chr1	46300000	46310000	45650784	46961504	645120	647168	down2
chr1	46760000	46770000	46110784	47421504	645120	647168	down2
chr1	47240000	47250000	46590784	47901504	645120	647168	down2
chr1	47750000	47760000	47100784	48411504	645120	647168	down2
chr1	48320000	48330000	47670784	48981504	645120	647168	down2
chr1	48820000	48830000	48170784	49481504	645120	647168	down2
chr1	49320000	49330000	48670784	49981504	645120	647168	down2
chr1	50920000	50930000	50270784	51581504	645120	647168	down2
chr1	51340000	51350000	50690784	52001504	645120	647168	down2
chr1	51630000	51640000	50980784	52291504	645120	647168	down2
chr1	52120000	52130000	51470784	52781504	645120	647168	down2
chr1	52630000	52640000	51980784	53291504	645120	647168	down2
chr1	53030000	53040000	52380784	53691504	645120	647168	down2
chr1	53330000	53340000	52680784	53991504	645120	647168	down2
chr1	53690000	53700000	53040784	54351504	645120	647168	down2
chr1	53920000	53930000	53270784	54581504	645120	647168	down2
chr1	54380000	54390000	53730784	55041504	645120	647168	down2
chr1	54980000	54990000	54330784	55641504	645120	647168	down2
chr1	55180000	55190000	54530784	55841504	645120	647168	down2
chr1	55880000	55890000	55230784	56541504	645120	647168	down2
chr1	56980000	56990000	56330784	57641504	645120	647168	down2
chr1	57400000	57410000	56750784	58061504	645120	647168	down2
chr1	57990000	58000000	57340784	58651504	645120	647168	down2
chr1	58380000	58390000	57730784	59041504	645120	647168	down2
chr1	58980000	58990000	58330784	59641504	645120	647168	down2
chr1	59240000	59250000	58590784	59901504	645120	647168	down2
chr1	59690000	59700000	59040784	60351504	645120	647168	down2
chr1	60540000	60550000	59890784	61201504	645120	647168	down2
chr1	60960000	60970000	60310784	61621504	645120	647168	down2
chr1	61770000	61780000	61120784	62431504	645120	647168	down2
chr1	62700000	62710000	62050784	63361504	645120	647168	down2
chr1	63040000	63050000	62390784	63701504	645120	647168	down2
chr1	63620000	63630000	62970784	64281504	645120	647168	down2
chr1	64520000	64530000	63870784	65181504	645120	647168	down2
chr1	65270000	65280000	64620784	65931504	645120	647168	down2
chr1	65620000	65630000	64970784	66281504	645120	647168	down2
chr1	66090000	66100000	65440784	66751504	645120	647168	down2
chr1	66680000	66690000	66030784	67341504	645120	647168	down2
chr1	67540000	67550000	66890784	68201504	645120	647168	down2
chr1	68080000	68090000	67430784	68741504	645120	647168	down2
chr1	68450000	68460000	67800784	69111504	645120	647168	down2
chr1	69160000	69170000	68510784	69821504	645120	647168	down2
chr1	69770000	69780000	69120784	70431504	645120	647168	down2
chr1	70240000	70250000	69590784	70901504	645120	647168	down2
chr1	70750000	70760000	70100784	71411504	645120	647168	down2
chr1	71100000	71110000	70450784	71761504	645120	647168	down2
chr1	71540000	71550000	70890784	72201504	645120	647168	down2
chr1	72150000	72160000	71500784	72811504	645120	647168	down2
chr1	72700000	72710000	72050784	73361504	645120	647168	down2
chr1	72870000	72880000	72220784	73531504	645120	647168	down2
chr1	73280000	73290000	72630784	73941504	645120	647168	down2
chr1	73860000	73870000	73210784	74521504	645120	647168	down2
chr1	74180000	74190000	73530784	74841504	645120	647168	down2
chr1	74440000	74450000	73790784	75101504	645120	647168	down2
chr1	75310000	75320000	74660784	75971504	645120	647168	down2
chr1	75620000	75630000	74970784	76281504	645120	647168	down2
chr1	76690000	76700000	76040784	77351504	645120	647168	down2
chr1	77530000	77540000	76880784	78191504	645120	647168	down2
chr1	77930000	77940000	77280784	78591504	645120	647168	down2
chr1	78190000	78200000	77540784	78851504	645120	647168	down2
chr1	78490000	78500000	77840784	79151504	645120	647168	down2
chr1	79760000	79770000	79110784	80421504	645120	647168	down2
chr1	80170000	80180000	79520784	80831504	645120	647168	down2
chr1	80770000	80780000	80120784	81431504	645120	647168	down2
chr1	81290000	81300000	80640784	81951504	645120	647168	down2
chr1	82480000	82490000	81830784	83141504	645120	647168	down2
chr1	82760000	82770000	82110784	83421504	645120	647168	down2
chr1	83170000	83180000	82520784	83831504	645120	647168	down2
chr1	83720000	83730000	83070784	84381504	645120	647168	down2
chr1	84110000	84120000	83460784	84771504	645120	647168	down2
chr1	84690000	84700000	84040784	85351504	645120	647168	down2
chr1	85840000	85850000	85190784	86501504	645120	647168	down2
chr1	86050000	86060000	85400784	86711504	645120	647168	down2
chr1	86350000	86360000	85700784	87011504	645120	647168	down2
chr1	87070000	87080000	86420784	87731504	645120	647168	down2
chr1	87440000	87450000	86790784	88101504	645120	647168	down2
chr1	87770000	87780000	87120784	88431504	645120	647168	down2
chr1	88040000	88050000	87390784	88701504	645120	647168	down2
chr1	88300000	88310000	87650784	88961504	645120	647168	down2
chr1	88740000	88750000	88090784	89401504	645120	647168	down2
chr1	89210000	89220000	88560784	89871504	645120	647168	down2
chr1	90000000	90010000	89350784	90661504	645120	647168	down2
chr1	90600000	90610000	89950784	91261504	645120	647168	down2
chr1	90890000	90900000	90240784	91551504	645120	647168	down2
chr1	91530000	91540000	90880784	92191504	645120	647168	down2
chr1	91910000	91920000	91260784	92571504	645120	647168	down2
chr1	92460000	92470000	91810784	93121504	645120	647168	down2
chr1	92630000	92640000	91980784	93291504	645120	647168	down2
chr1	92910000	92920000	92260784	93571504	645120	647168	down2
chr1	93500000	93510000	92850784	94161504	645120	647168	down2
chr1	94150000	94160000	93500784	94811504	645120	647168	down2
chr1	94720000	94730000	94070784	95381504	645120	647168	down2
chr1	95790000	95800000	95140784	96451504	645120	647168	down2
chr1	96800000	96810000	96150784	97461504	645120	647168	down2
chr1	97050000	97060000	96400784	97711504	645120	647168	down2
chr1	97700000	97710000	97050784	98361504	645120	647168	down2
chr1	99720000	99730000	99070784	100381504	645120	647168	down2
chr1	100540000	100550000	99890784	101201504	645120	647168	down2
chr1	100980000	100990000	100330784	101641504	645120	647168	down2
chr1	101360000	101370000	100710784	102021504	645120	647168	down2
chr1	102080000	102090000	101430784	102741504	645120	647168	down2
chr1	102380000	102390000	101730784	103041504	645120	647168	down2
chr1	103110000	103120000	102460784	103771504	645120	647168	down2
chr1	104960000	104970000	104310784	105621504	645120	647168	down2
chr1	105650000	105660000	105000784	106311504	645120	647168	down2
chr1	106050000	106060000	105400784	106711504	645120	647168	down2
chr1	106400000	106410000	105750784	107061504	645120	647168	down2
chr1	106890000	106900000	106240784	107551504	645120	647168	down2
chr1	107610000	107620000	106960784	108271504	645120	647168	down2
chr1	108090000	108100000	107440784	108751504	645120	647168	down2
chr1	108810000	108820000	108160784	109471504	645120	647168	down2
chr1	109400000	109410000	108750784	110061504	645120	647168	down2
chr1	110000000	110010000	109350784	110661504	645120	647168	down2
chr1	110410000	110420000	109760784	111071504	645120	647168	down2
chr1	111250000	111260000	110600784	111911504	645120	647168	down2
chr1	111640000	111650000	110990784	112301504	645120	647168	down2
chr1	112380000	112390000	111730784	113041504	645120	647168	down2
chr1	113180000	113190000	112530784	113841504	645120	647168	down2
chr1	113750000	113760000	113100784	114411504	645120	647168	down2
chr1	114180000	114190000	113530784	114841504	645120	647168	down2
chr1	115020000	115030000	114370784	115681504	645120	647168	down2
chr1	115670000	115680000	115020784	116331504	645120	647168	down2
chr1	116490000	116500000	115840784	117151504	645120	647168	down2
chr1	118340000	118350000	117690784	119001504	645120	647168	down2
chr1	118510000	118520000	117860784	119171504	645120	647168	down2
chr1	118770000	118780000	118120784	119431504	645120	647168	down2
chr1	119500000	119510000	118850784	120161504	645120	647168	down2
chr1	119910000	119920000	119260784	120571504	645120	647168	down2
chr1	121190000	121200000	120540784	121851504	645120	647168	down2
chr1	121570000	121580000	120920784	122231504	645120	647168	down2
chr1	122410000	122420000	121760784	123071504	645120	647168	down2
chr1	122920000	122930000	122270784	123581504	645120	647168	down2
chr1	123370000	123380000	122720784	124031504	645120	647168	down2
chr1	124090000	124100000	123440784	124751504	645120	647168	down2
chr1	124690000	124700000	124040784	125351504	645120	647168	down2
chr1	125360000	125370000	124710784	126021504	645120	647168	down2
chr1	125590000	125600000	124940784	126251504	645120	647168	down2
chr1	126470000	126480000	125820784	127131504	645120	647168	down2
chr1	127480000	127490000	126830784	128141504	645120	647168	down2
chr1	127770000	127780000	127120784	128431504	645120	647168	down2
chr1	128360000	128370000	127710784	129021504	645120	647168	down2
chr1	128850000	128860000	128200784	129511504	645120	647168	down2
chr1	129330000	129340000	128680784	129991504	645120	647168	down2
chr1	129830000	129840000	129180784	130491504	645120	647168	down2
chr1	130150000	130160000	129500784	130811504	645120	647168	down2
chr1	130400000	130410000	129750784	131061504	645120	647168	down2
chr1	131070000	131080000	130420784	131731504	645120	647168	down2
chr1	131280000	131290000	130630784	131941504	645120	647168	down2
chr1	131560000	131570000	130910784	132221504	645120	647168	down2
chr1	131910000	131920000	131260784	132571504	645120	647168	down2
chr1	133000000	133010000	132350784	133661504	645120	647168	down2
chr1	133360000	133370000	132710784	134021504	645120	647168	down2
chr1	133620000	133630000	132970784	134281504	645120	647168	down2
