SCD_h1_m0_t0	SCD_h1_m0_t1	SCD_h1_m0_t2	SCD_h1_m0_t3	SCD_h1_m0_t4	SCD_h1_m0_t5	chrom	end	rel_disruption_end	rel_disruption_start	start	type	window_end	window_start	miss_per	ins16_min	cont_sum	raw_count
12.625	13.98	9.84	9.76	10.56	8.8	chr1	4410000	667648	665600	4400000	up4	5061504	3750784	9.879583081593957	-0.2043386548757553	112161.79440403097	1685338
0.717	0.8345	0.9307	0.885	0.826	0.6606	chr1	4410000	620544	618496	4400000	down15	5061504	3750784	9.879583081593957	-0.2043386548757553	112161.79440403097	1685338
1.633	1.619	1.664	1.48	1.4375	1.175	chr1	5160000	622592	620544	5150000	down14	5811504	4500784	14.626722752299854	-0.2331038862466812	104884.32876539804	1718155
1.366	1.466	1.362	1.321	1.321	1.116	chr18	73180000	620544	618496	73170000	down15	73831504	72520784	16.06154220291904	-0.2854067683219909	85092.54682252825	1620815
12.48	14.41	14.84	15.16	13.95	11.836	chr1	6200000	651264	649216	6190000	tad1	6851504	5540784	17.484202166668567	-0.3433843851089477	93233.85830833676	1484079
9.67	11.875	4.547	4.43	6.4	4.91	chr1	8970000	628736	626688	8960000	down11	9621504	8310784	28.80859375	-0.117691695690155	61822.75662691597	1246157
1.412	1.408	1.091	0.998	1.015	0.847	chr18	4460000	618496	616448	4450000	down16	5111504	3800784	12.086529948436176	-0.2739488482475281	84342.53564806448	2001625
8.836	7.84	6.24	6.23	5.39	4.473	chr1	9740000	649216	647168	9730000	down1	10391504	9080784	8.019561574501557	-0.1310509741306305	103018.61538070255	1740929
4.637	5.816	5.27	5.28	5.34	4.375	chr1	10800000	626688	624640	10790000	down12	11451504	10140784	19.59539307441226	-0.2145074754953384	78654.34666894324	1694285
11.57	14.195	13.445	12.414	13.53	11.21	chr1	11150000	651264	649216	11140000	tad1	11801504	10490784	16.41834714575045	-0.0851458311080932	90324.821022795	1716867
0.475	0.5312	0.6577	0.673	0.4875	0.4302	chr1	90610000	618496	616448	90600000	down16	91261504	89950784	4.242520965615252	-0.5564635396003723	114199.67959710793	2396156
1.088	1.099	0.9155	0.8394	0.8315	0.7017	chr2	60730000	618496	616448	60720000	down16	61381504	60070784	7.270233196159122	-0.215939462184906	104905.34953629436	2116592
8.41	9.31	3.707	3.67	4.137	3.277	chr1	19090000	626688	624640	19080000	down12	19741504	18430784	14.266117969821671	-0.2654718458652496	102065.64851889214	1342436
9.76	12.97	8.836	7.824	10.21	8.05	chr1	20000000	632832	630784	19990000	down9	20651504	19340784	16.41834714575045	-0.1066042333841323	71176.12758713782	1488429
2.018	1.698	1.745	1.631	1.548	1.396	chr15	44430000	620544	618496	44420000	down15	45081504	43770784	17.129677127625214	-0.5511500239372253	95417.69733473162	1524751
11.305	13.016	6.97	6.516	8.78	7.34	chr1	21960000	673792	671744	21950000	up7	22611504	21300784	19.245427842945027	-0.2513416707515716	78164.67520267885	1648101
6.047	7.152	12.2	11.69	8.98	8.04	chr1	22550000	643072	641024	22540000	down4	23201504	21890784	17.484202166668567	-0.2249596565961837	98330.97434079844	1628625
11.36	12.84	20.9	19.17	16.84	14.086	chr1	24690000	649216	647168	24680000	down1	25341504	24030784	13.179743814811015	-0.3060902953147888	90639.13260853518	1645043
6.223	7.33	2.377	2.385	3.744	2.951	chr1	26830000	659456	657408	26820000	tad5	27481504	26170784	19.59539307441226	-0.1533447504043579	73869.10333840588	1291800
4.566	5.26	2.277	2.305	3.037	2.438	chr1	27210000	651264	649216	27200000	tad1	27861504	26550784	15.703977292158273	-0.094174176454544	74910.70997583438	1332314
14.445	18.11	7.87	7.934	11.25	8.69	chr1	27740000	663552	661504	27730000	up2	28391504	27080784	12.451694538490475	-0.0955570563673973	75273.41678330304	1356843
1.997	2.28	1.103	1.1045	1.438	1.149	chr1	28410000	657408	655360	28400000	tad4	29061504	27750784	10.249307479224376	-0.073721207678318	77427.65974450826	1400361
4.867	5.844	2.096	2.014	2.764	2.232	chr1	28800000	645120	643072	28790000	down3	29451504	28140784	12.451694538490475	-0.101969726383686	73393.67643226343	1300359
15.375	15.08	13.85	12.64	13.516	11.88	chr1	30960000	630784	628736	30950000	down10	31611504	30300784	23.053247152970144	-0.2589652240276336	98523.90559274984	1377507
9.164	10.734	4.26	4.375	5.645	4.316	chr1	35490000	649216	647168	35480000	down1	36141504	34830784	8.765850081126576	-0.2200787365436554	96309.69016828875	2212605
17.48	18.66	17.48	17.22	17.86	15.555	chr1	37660000	677888	675840	37650000	up9	38311504	37000784	4.623644882185972	-0.2429594993591308	110061.3846303847	2448218
16.34	16.05	16.03	16.16	15.98	13.95	chr1	37890000	636928	634880	37880000	down7	38541504	37230784	3.860637081115177	-0.3356701135635376	126661.91824301193	2277350
1.903	2.273	3.096	3.002	2.72	2.344	chr1	91920000	618496	616448	91910000	down16	92571504	91260784	3.4779932286857496	-0.1609223186969757	100101.86085734484	2536115
16.02	16.9	20.23	19.27	18.92	16.6	chr1	40000000	636928	634880	39990000	down7	40651504	39340784	7.645277369295016	-0.1946616917848587	108198.81626134909	2209729
13.91	17.47	13.01	11.66	14.66	11.51	chr1	41810000	661504	659456	41800000	up1	42461504	41150784	5.762456824322014	-0.1604059338569641	87118.71191715609	1937286
14.85	16.34	23.05	23.02	20.08	17.94	chr1	43110000	663552	661504	43100000	up2	43761504	42450784	3.0945894083269683	-0.2975703179836273	116408.95478481584	2057058
