	chrom	end	start	strand	SCD_m0	SCD_m1	SCD_m2	SCD_m3	SCD_m4	SCD_m5	SCD_m6	SCD_m7	SCD
0	chr4	87368268	87368249	+	101.0	90.56	80.94	83.06	99.3	84.94	87.94	97.2	90.56
1	chr3	22309188	22309169	+	84.7	79.3	77.2	73.94	91.94	66.2	91.94	86.3	81.5
2	chr6	60556001	60555982	+	68.56	63.9	63.9	59.6	69.0	72.44	79.0	64.94	67.7
3	chr5	7996919	7996900	-	68.06	62.0	76.8	64.2	62.4	60.66	58.97	75.3	66.06
4	chr1	144380222	144380203	-	50.0	58.84	75.8	63.47	64.75	59.53	72.94	61.75	63.4
5	chr1	44745882	44745863	+	57.22	55.4	59.0	63.1	66.25	62.5	71.44	61.97	62.12
6	chr4	81178889	81178870	+	65.6	60.6	54.4	63.53	64.44	59.5	64.56	63.72	62.03
7	chr9	10909768	10909749	+	61.25	64.3	63.6	62.0	69.1	46.16	54.47	67.94	61.12
8	chr6	64650119	64650100	-	58.66	63.97	62.22	66.1	62.5	65.1	49.84	56.28	60.56
9	chr4	9135983	9135964	+	55.72	66.06	54.88	55.28	68.3	72.25	60.5	47.28	60.03
