chrom	start	end	boundary_span	jaspar_score	strand	FDR	DETECTION_SCALE	seq_id	background_index	exp_id	orientation	flank_bp	spacer_bp
chr8	83262212	83262231	83260000-83270000	835.0	+	0.0499942677303824	2.111212657236631	0	0	0	<>	30	60
chr8	83268991	83269010	83260000-83270000	823.0	+	0.0499942677303824	2.111212657236631	1	0	1	<>	30	60
chr8	83260600	83260619	83260000-83270000	958.0	+	0.0499942677303824	2.111212657236631	2	0	2	<>	30	60
chr6	52211720	52211739	52210000-52220000	815.0	+	0.0499874134196794	2.111212657236631	3	0	3	<>	30	60
chr6	52218693	52218712	52210000-52220000	812.0	-	0.0499874134196794	2.111212657236631	4	0	4	<>	30	60
chr6	52214920	52214939	52210000-52220000	815.0	+	0.0499874134196794	2.111212657236631	5	0	5	<>	30	60
chr6	38066489	38066508	38060000-38070000	901.0	-	0.0499874134196794	2.111212657236631	6	0	6	<>	30	60
chr6	38069217	38069236	38060000-38070000	802.0	+	0.0499874134196794	2.111212657236631	7	0	7	<>	30	60
chr6	38060708	38060727	38060000-38070000	830.0	-	0.0499874134196794	2.111212657236631	8	0	8	<>	30	60
chr6	52212677	52212696	52210000-52220000	842.0	+	0.0499874134196794	2.111212657236631	9	0	9	<>	30	60
chr13	30987446	30987465	30980000-30990000	820.0	+	0.0499824153824726	2.111212657236631	10	0	10	<>	30	60
chr13	30986225	30986244	30980000-30990000	814.0	+	0.0499824153824726	2.111212657236631	11	0	11	<>	30	60
chr13	30985890	30985909	30980000-30990000	804.0	+	0.0499824153824726	2.111212657236631	12	0	12	<>	30	60
chr13	30981855	30981874	30980000-30990000	862.0	-	0.0499824153824726	2.111212657236631	13	0	13	<>	30	60
chr5	16311452	16311471	16310000-16320000	854.0	+	0.0499709570554404	2.111212657236631	14	0	14	<>	30	60
chr5	16312206	16312225	16310000-16320000	804.0	+	0.0499709570554404	2.111212657236631	15	0	15	<>	30	60
chr5	16947594	16947613	16940000-16950000	911.0	+	0.0499709570554404	2.111212657236631	16	0	16	<>	30	60
chr5	17766239	17766258	17760000-17770000	875.0	-	0.0499709570554404	2.111212657236631	17	0	17	<>	30	60
chr5	4962118	4962137	4960000-4970000	907.0	+	0.0499709570554404	2.111212657236631	18	0	18	<>	30	60
chr5	5261822	5261841	5260000-5270000	836.0	+	0.0499709570554404	2.111212657236631	19	0	19	<>	30	60
chr5	5269436	5269455	5260000-5270000	815.0	-	0.0499709570554404	2.111212657236631	20	0	20	<>	30	60
chr5	5266673	5266692	5260000-5270000	917.0	-	0.0499709570554404	2.111212657236631	21	0	21	<>	30	60
chr8	85460966	85460985	85460000-85470000	879.0	+	0.0499258465797376	3.6758347359905126	22	0	22	<>	30	60
chr8	86888091	86888110	86880000-86890000	810.0	-	0.0499258465797376	3.6758347359905126	23	0	23	<>	30	60
chr8	85461317	85461336	85460000-85470000	807.0	-	0.0499258465797376	3.6758347359905126	24	0	24	<>	30	60
chr12	79104511	79104530	79100000-79110000	819.0	-	0.0499195152382097	2.111212657236631	25	0	25	<>	30	60
chr1	39680723	39680742	39680000-39690000	873.0	-	0.0498790000094483	2.111212657236631	26	0	26	<>	30	60
chr1	39683876	39683895	39680000-39690000	800.0	+	0.0498790000094483	2.111212657236631	27	0	27	<>	30	60
chr1	40542429	40542448	40540000-40550000	813.0	-	0.0498790000094483	2.111212657236631	28	0	28	<>	30	60
