shuffle_parameter	ctcf_detection_threshold	mutation_method	chrom	start	end	GC_content
8	8	permute_whole_seq	chr3	142604288	143915008	0.3618461608886719
8	8	permute_whole_seq	chr14	90988544	92299264	0.362066650390625
8	8	permute_whole_seq	chr18	47454208	48764928	0.3622123718261719
8	8	permute_whole_seq	chr15	21833728	23144448	0.3625053405761719
8	8	permute_whole_seq	chr5	114972672	116283392	0.3627922058105469
8	8	permute_whole_seq	chr2	38332416	39643136	0.3630241394042969
8	8	permute_whole_seq	chr3	82317312	83628032	0.363214111328125
8	8	permute_whole_seq	chr19	17924096	19234816	0.3634971618652344
8	8	permute_whole_seq	chr2	75831296	77142016	0.36371841430664065
8	8	permute_whole_seq	chr16	43200512	44511232	0.3639549255371094
