Unnamed: 0	chrom	end	start	strand	disruption_SCD	insertion_SCD	background_index	exp_id	orientation	flank_bp	spacer_bp
0	chr4	87368268	87368249	+	90.56	65.75	0	0	><	30	199970
1	chr11	109860827	109860808	-	89.2	47.97	0	1	><	30	199970
2	chr3	22309188	22309169	+	81.5	60.4	0	2	><	30	199970
3	chr10	5161770	5161751	-	79.2	55.88	0	3	><	30	199970
4	chr16	71247702	71247683	+	68.56	43.2	0	4	><	30	199970
5	chr16	72980067	72980048	-	68.3	56.7	0	5	><	30	199970
6	chr6	60556001	60555982	+	67.7	40.38	0	6	><	30	199970
7	chr5	7996919	7996900	-	66.06	59.4	0	7	><	30	199970
8	chr14	12140114	12140095	-	65.1	51.62	0	8	><	30	199970
9	chr13	81439574	81439555	+	64.94	46.94	0	9	><	30	199970
10	chr9	103996726	103996707	-	64.9	51.25	0	10	><	30	199970
11	chr15	56066340	56066321	+	63.97	42.94	0	11	><	30	199970
12	chr10	106609250	106609231	+	63.97	42.62	0	12	><	30	199970
13	chr1	144380222	144380203	-	63.4	48.44	0	13	><	30	199970
14	chr10	8240468	8240449	-	62.34	45.88	0	14	><	30	199970
15	chr12	77000269	77000250	+	62.22	54.97	0	15	><	30	199970
16	chr1	44745882	44745863	+	62.12	40.25	0	16	><	30	199970
17	chr4	81178889	81178870	+	62.03	50.0	0	17	><	30	199970
18	chr9	10909768	10909749	+	61.12	47.94	0	18	><	30	199970
19	chr6	64650119	64650100	-	60.56	60.88	0	19	><	30	199970
20	chr15	32766485	32766466	-	60.56	46.62	0	20	><	30	199970
21	chr4	9135983	9135964	+	60.03	34.12	0	21	><	30	199970
22	chr7	118305013	118304994	+	59.5	47.62	0	22	><	30	199970
23	chr10	39520570	39520551	-	58.34	40.5	0	23	><	30	199970
24	chr1	78724658	78724639	+	58.25	47.28	0	24	><	30	199970
25	chr2	160598038	160598019	+	57.94	55.8	0	25	><	30	199970
26	chr18	33790258	33790239	-	57.72	56.3	0	26	><	30	199970
27	chr12	40837750	40837731	+	57.5	46.25	0	27	><	30	199970
28	chr8	41443763	41443744	+	57.34	56.06	0	28	><	30	199970
29	chr14	68494314	68494295	-	56.94	24.97	0	29	><	30	199970
30	chr1	11657910	11657891	+	56.8	43.62	0	30	><	30	199970
31	chr11	77100337	77100318	+	55.88	49.25	0	31	><	30	199970
32	chr16	41244935	41244916	-	55.72	48.0	0	32	><	30	199970
33	chr14	87452291	87452272	-	55.72	63.0	0	33	><	30	199970
34	chr18	16217050	16217031	+	54.9	26.8	0	34	><	30	199970
35	chr11	53255133	53255114	-	54.8	39.5	0	35	><	30	199970
36	chr9	7216447	7216428	+	54.56	27.64	0	36	><	30	199970
37	chr8	35850598	35850579	-	54.5	50.94	0	37	><	30	199970
38	chr8	102781131	102781112	-	54.44	41.34	0	38	><	30	199970
39	chr5	49962010	49961991	-	54.16	50.88	0	39	><	30	199970
40	chr7	90410162	90410143	-	54.06	39.75	0	40	><	30	199970
41	chr4	15328717	15328698	+	54.03	40.72	0	41	><	30	199970
42	chr11	31949616	31949597	-	54.0	41.44	0	42	><	30	199970
43	chr1	120586671	120586652	+	53.8	57.06	0	43	><	30	199970
44	chr13	19698921	19698902	+	53.16	40.8	0	44	><	30	199970
45	chr12	57825950	57825931	+	53.03	34.38	0	45	><	30	199970
46	chr16	72215933	72215914	-	52.7	45.56	0	46	><	30	199970
47	chr9	15685402	15685383	+	52.62	45.03	0	47	><	30	199970
