chr	start	stop	type_v2	model	v2_MSE_0	v2_S_0	v2_MSE_1	v2_S_1	v2_MSE_2	v2_S_2	v2_MSE_3	v2_S_3	v2_MSE_4	v2_S_4	v2_MSE	v2_S
chr1	72345600	73394176	fold0	0	0.13750176	0.4554876185306336	0.14973417	0.6875918230446363	0.08223745	0.2333719910153213	0.11968887	0.24859591891195804	0.06573596	0.016603389726248034	0.11097964	0.32833014824575946
chr1	72869888	73918464	fold0	0	0.07761699	0.05942624435797097	0.10921327	0.28653112104006084	0.075196244	0.2069731696916158	0.09749043	0.024204479884429836	0.061204597	0.017207556058400412	0.08414431	0.11886851420649558
chr1	73394176	74442752	fold0	0	0.08884385	0.2614071735327702	0.105358936	0.42725472675756837	0.08300258	0.2340474799996934	0.10853003	0.28999791448221907	0.099053174	0.5000780353813249	0.09695771	0.3425570660307152
chr1	73918464	74967040	fold0	0	0.14381614	0.6800398979084188	0.08050802	0.8124062929238252	0.08060474	0.5380880461239487	0.15332532	0.7071515923728375	0.08927305	0.5724425956154342	0.10950545	0.6620256849888928
chr1	74442752	75491328	fold0	0	0.23582868	0.5256863480652044	0.11211936	0.7893016874284859	0.09076506	0.6365592459238314	0.19141485	0.5795691524978549	0.08041146	0.6379827366772478	0.14210787	0.6338198341185248
chr1	74967040	76015616	fold0	0	0.12983586	0.48355400553176264	0.12503871	0.6737158690683368	0.07109709	0.6139480165414486	0.1638352	0.2974746828261761	0.07409503	0.5678832685236029	0.11278038	0.5273151684982654
chr1	75491328	76539904	fold0	0	0.12848255	0.5044290096126658	0.14824732	0.6581782136898084	0.071418226	0.4366492835266067	0.13672403	0.4779698866001712	0.07903704	0.5860826290779086	0.11278184	0.5326618045014322
chr1	76015616	77064192	fold0	0	0.12594938	0.5110439316688599	0.07772276	0.5415695946188062	0.05519488	0.3481765614737361	0.10478251	0.326978328515056	0.061396495	0.2478091079748471	0.0850092	0.395115504850261
chr1	76539904	77588480	fold0	0	0.21178417	0.751069579963613	0.11051961	0.6538317824727669	0.065923266	0.43905033262387977	0.18267769	0.7295214085074074	0.076492205	0.5300461270113411	0.12947938	0.6207038461158015
chr1	109703168	110751744	fold0	0	0.119109705	0.8114216862526845	0.09960327	0.8186832274360631	0.07164232	0.8188869096117728	0.1948555	0.8201128404998687	0.07522029	0.7296349761068278	0.112086214	0.7997479279814435
chr1	110227456	111276032	fold0	0	0.13048674	0.7366547127867544	0.115843326	0.6171096995022927	0.095233545	0.5337895107953066	0.13458043	0.618311772578173	0.0780733	0.7070819899467823	0.110843465	0.6425895371218618
chr1	110751744	111800320	fold0	0	0.22757538	0.7220522859390113	0.15680513	0.5585707816444777	0.09099173	0.6158378561976311	0.17922015	0.6474733360459709	0.07449342	0.613484763538692	0.14581716	0.6314838046731566
chr1	111276032	112324608	fold0	0	0.16538025	0.7745147414205685	0.121270105	0.7433000687966942	0.1377167	0.7855734241867244	0.21020317	0.687676685772333	0.07581756	0.744203256057236	0.14207757	0.7470536352467112
chr1	111800320	112848896	fold0	0	0.14072289	0.8292823128207014	0.09298384	0.8225092228071754	0.08202781	0.7579869912248682	0.21106032	0.7566098473603454	0.07477432	0.7742662732204681	0.12031384	0.7881309294867117
chr1	112324608	113373184	fold0	0	0.14852266	0.80033240736658	0.1419885	0.7125439466340381	0.06706055	0.7616599874828093	0.15919007	0.7846491490762216	0.06987567	0.6798305214055227	0.11732749	0.7478032023930343
chr1	112848896	113897472	fold0	0	0.22616448	0.8154903896043849	0.16836071	0.7887086488204479	0.08931358	0.8555507667667639	0.16247235	0.802331485177753	0.07758311	0.7986031459985772	0.14477885	0.8121368872735854
chr1	113373184	114421760	fold0	0	0.13692072	0.7349684655197014	0.13165405	0.7996885805803681	0.12418271	0.6290462143526514	0.15681724	0.713060874043161	0.07839883	0.646648927488407	0.1255947	0.7046826123968577
