Unnamed: 0	chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
0	chr4	87368268	87368249	+	90.56	65.75	>	0	30	60
1	chr11	109860827	109860808	-	89.2	47.97	>	0	30	60
2	chr3	22309188	22309169	+	81.5	60.4	>	0	30	60
3	chr10	5161770	5161751	-	79.2	55.88	>	0	30	60
4	chr16	71247702	71247683	+	68.56	43.2	>	0	30	60
5	chr16	72980067	72980048	-	68.3	56.7	>	0	30	60
6	chr6	60556001	60555982	+	67.7	40.38	>	0	30	60
7	chr5	7996919	7996900	-	66.06	59.4	>	0	30	60
8	chr14	12140114	12140095	-	65.1	51.62	>	0	30	60
9	chr13	81439574	81439555	+	64.94	46.94	>	0	30	60
10	chr9	103996726	103996707	-	64.9	51.25	>	0	30	60
11	chr15	56066340	56066321	+	63.97	42.94	>	0	30	60
12	chr10	106609250	106609231	+	63.97	42.62	>	0	30	60
13	chr1	144380222	144380203	-	63.4	48.44	>	0	30	60
14	chr10	8240468	8240449	-	62.34	45.88	>	0	30	60
15	chr12	77000269	77000250	+	62.22	54.97	>	0	30	60
16	chr1	44745882	44745863	+	62.12	40.25	>	0	30	60
17	chr4	81178889	81178870	+	62.03	50.0	>	0	30	60
18	chr9	10909768	10909749	+	61.12	47.94	>	0	30	60
19	chr6	64650119	64650100	-	60.56	60.88	>	0	30	60
20	chr15	32766485	32766466	-	60.56	46.62	>	0	30	60
21	chr4	9135983	9135964	+	60.03	34.12	>	0	30	60
22	chr7	118305013	118304994	+	59.5	47.62	>	0	30	60
23	chr10	39520570	39520551	-	58.34	40.5	>	0	30	60
24	chr1	78724658	78724639	+	58.25	47.28	>	0	30	60
25	chr2	160598038	160598019	+	57.94	55.8	>	0	30	60
26	chr18	33790258	33790239	-	57.72	56.3	>	0	30	60
27	chr12	40837750	40837731	+	57.5	46.25	>	0	30	60
28	chr8	41443763	41443744	+	57.34	56.06	>	0	30	60
29	chr14	68494314	68494295	-	56.94	24.97	>	0	30	60
30	chr1	11657910	11657891	+	56.8	43.62	>	0	30	60
31	chr11	77100337	77100318	+	55.88	49.25	>	0	30	60
32	chr16	41244935	41244916	-	55.72	48.0	>	0	30	60
33	chr14	87452291	87452272	-	55.72	63.0	>	0	30	60
34	chr18	16217050	16217031	+	54.9	26.8	>	0	30	60
35	chr11	53255133	53255114	-	54.8	39.5	>	0	30	60
36	chr9	7216447	7216428	+	54.56	27.64	>	0	30	60
37	chr8	35850598	35850579	-	54.5	50.94	>	0	30	60
38	chr8	102781131	102781112	-	54.44	41.34	>	0	30	60
39	chr5	49962010	49961991	-	54.16	50.88	>	0	30	60
40	chr7	90410162	90410143	-	54.06	39.75	>	0	30	60
41	chr4	15328717	15328698	+	54.03	40.72	>	0	30	60
42	chr11	31949616	31949597	-	54.0	41.44	>	0	30	60
43	chr1	120586671	120586652	+	53.8	57.06	>	0	30	60
44	chr13	19698921	19698902	+	53.16	40.8	>	0	30	60
45	chr12	57825950	57825931	+	53.03	34.38	>	0	30	60
46	chr16	72215933	72215914	-	52.7	45.56	>	0	30	60
47	chr9	15685402	15685383	+	52.62	45.03	>	0	30	60
48	chr10	10321327	10321308	-	52.47	23.97	>	0	30	60
49	chr9	49494135	49494116	+	52.4	51.5	>	0	30	60
50	chr3	50906169	50906150	-	52.12	57.06	>	0	30	60
51	chr11	57467973	57467954	-	52.03	54.47	>	0	30	60
52	chr11	113165316	113165297	-	51.88	57.94	>	0	30	60
53	chr9	51152608	51152589	-	51.8	48.22	>	0	30	60
54	chr16	58299658	58299639	+	51.56	30.08	>	0	30	60
55	chr16	22564783	22564764	+	51.44	49.16	>	0	30	60
56	chr8	36523135	36523116	-	51.4	44.44	>	0	30	60
57	chr14	34810941	34810922	+	51.3	52.97	>	0	30	60
58	chr6	101261740	101261721	-	51.0	49.47	>	0	30	60
59	chr7	132213694	132213675	-	50.8	38.62	>	0	30	60
60	chr2	48886271	48886252	-	50.28	44.53	>	0	30	60
61	chr12	54060974	54060955	-	50.12	27.78	>	0	30	60
62	chr1	5905019	5905000	-	50.06	44.22	>	0	30	60
63	chr9	26776375	26776356	-	50.0	53.88	>	0	30	60
64	chr1	103799519	103799500	+	49.53	56.44	>	0	30	60
65	chr9	88222188	88222169	-	49.5	40.1	>	0	30	60
66	chr18	58481884	58481865	-	49.28	39.28	>	0	30	60
67	chr13	100112788	100112769	+	49.16	37.22	>	0	30	60
68	chr3	14679394	14679375	+	49.06	29.97	>	0	30	60
69	chr16	37109459	37109440	+	48.75	19.0	>	0	30	60
70	chr3	153655318	153655299	-	48.72	48.28	>	0	30	60
71	chr16	89765698	89765679	-	48.38	54.0	>	0	30	60
72	chr13	89543228	89543209	-	48.3	56.84	>	0	30	60
73	chr11	40149509	40149490	-	48.28	36.34	>	0	30	60
74	chr3	113080940	113080921	-	48.2	53.4	>	0	30	60
75	chr10	70963797	70963778	-	47.53	51.97	>	0	30	60
76	chr6	66533480	66533461	-	47.34	41.22	>	0	30	60
77	chr18	57976815	57976796	+	47.28	41.3	>	0	30	60
78	chr12	92303388	92303369	+	47.12	48.12	>	0	30	60
79	chr6	43686140	43686121	+	47.1	34.0	>	0	30	60
80	chr15	11038687	11038668	+	47.06	40.16	>	0	30	60
81	chr6	13281064	13281045	-	47.06	44.4	>	0	30	60
82	chr4	25180081	25180062	-	46.94	22.34	>	0	30	60
83	chr2	110229883	110229864	+	46.8	37.2	>	0	30	60
84	chr2	118638293	118638274	+	46.34	48.4	>	0	30	60
85	chr14	67674858	67674839	-	46.2	40.62	>	0	30	60
86	chr1	179477262	179477243	-	45.97	54.9	>	0	30	60
87	chr12	78056191	78056172	+	45.84	48.03	>	0	30	60
88	chr15	44836402	44836383	+	45.7	45.75	>	0	30	60
89	chr9	80293262	80293243	+	45.3	48.66	>	0	30	60
90	chr1	21411405	21411386	+	45.28	35.97	>	0	30	60
91	chr8	80483379	80483360	-	45.28	32.34	>	0	30	60
92	chr16	55477026	55477007	-	44.9	60.88	>	0	30	60
93	chr9	122729759	122729740	-	44.72	40.56	>	0	30	60
94	chr2	17415581	17415562	-	44.56	38.03	>	0	30	60
95	chr4	13778049	13778030	-	44.5	20.47	>	0	30	60
96	chr16	64748455	64748436	-	44.47	52.25	>	0	30	60
97	chr6	57570627	57570608	-	44.28	34.06	>	0	30	60
98	chr16	13117421	13117402	+	44.28	48.25	>	0	30	60
99	chr1	54381475	54381456	-	44.12	34.1	>	0	30	60
100	chr15	40166896	40166877	+	44.03	40.53	>	0	30	60
101	chr17	83271696	83271677	+	44.0	39.2	>	0	30	60
102	chr9	63136063	63136044	+	43.94	32.22	>	0	30	60
103	chr3	68056550	68056531	+	43.88	35.0	>	0	30	60
104	chr3	25220822	25220803	-	43.8	23.62	>	0	30	60
105	chr7	118102455	118102436	-	43.53	59.94	>	0	30	60
106	chr9	51335485	51335466	+	43.47	26.75	>	0	30	60
107	chr16	96671807	96671788	-	43.4	27.66	>	0	30	60
108	chr2	113494904	113494885	+	43.34	43.28	>	0	30	60
109	chr1	55404561	55404542	+	43.25	39.06	>	0	30	60
110	chr3	80079969	80079950	+	43.0	35.7	>	0	30	60
111	chr11	25862989	25862970	-	42.66	37.9	>	0	30	60
112	chr13	109213188	109213169	-	42.6	60.5	>	0	30	60
113	chr8	58566283	58566264	+	42.56	33.8	>	0	30	60
114	chr16	72218227	72218208	+	42.38	47.1	>	0	30	60
115	chr14	102510640	102510621	-	42.34	35.9	>	0	30	60
116	chr7	143154010	143153991	+	42.16	43.66	>	0	30	60
117	chr6	143219585	143219566	+	42.1	41.62	>	0	30	60
118	chr17	86906334	86906315	-	41.97	47.25	>	0	30	60
119	chr8	62080400	62080381	+	41.97	30.6	>	0	30	60
120	chr3	57843985	57843966	+	41.94	43.75	>	0	30	60
121	chr18	3495634	3495615	+	41.62	36.03	>	0	30	60
122	chr7	125393847	125393828	-	41.56	47.0	>	0	30	60
123	chr7	86211564	86211545	-	41.56	46.4	>	0	30	60
124	chr9	60245127	60245108	+	41.38	43.16	>	0	30	60
125	chr6	131353859	131353840	-	41.3	15.89	>	0	30	60
126	chr15	98173991	98173972	-	41.25	24.88	>	0	30	60
127	chr17	88641249	88641230	-	41.12	34.25	>	0	30	60
128	chr9	87027908	87027889	+	41.1	38.34	>	0	30	60
129	chr4	70621553	70621534	-	40.97	48.38	>	0	30	60
130	chr12	41487236	41487217	-	40.88	35.94	>	0	30	60
131	chr4	127368548	127368529	+	40.8	49.72	>	0	30	60
132	chr8	50293750	50293731	-	40.75	48.2	>	0	30	60
133	chr16	27468981	27468962	+	40.75	34.62	>	0	30	60
134	chr7	121641354	121641335	-	40.7	30.69	>	0	30	60
135	chr3	29726795	29726776	-	40.7	30.42	>	0	30	60
136	chr14	29110872	29110853	-	40.66	51.22	>	0	30	60
137	chr13	116712427	116712408	-	40.62	33.1	>	0	30	60
138	chr18	19939562	19939543	-	40.47	45.7	>	0	30	60
139	chr15	80704533	80704514	-	40.28	46.53	>	0	30	60
140	chr18	50137074	50137055	+	40.28	37.62	>	0	30	60
141	chr13	15763212	15763193	-	40.25	29.53	>	0	30	60
142	chr19	50185486	50185467	+	40.22	44.2	>	0	30	60
143	chr12	74013965	74013946	-	40.22	40.8	>	0	30	60
144	chr1	138835543	138835524	+	40.06	20.81	>	0	30	60
145	chr15	55550924	55550905	-	40.06	37.12	>	0	30	60
146	chr1	61771439	61771420	-	40.06	23.55	>	0	30	60
147	chr12	34664961	34664942	+	40.0	19.7	>	0	30	60
148	chr14	78288101	78288082	-	39.8	38.8	>	0	30	60
149	chr2	4499416	4499397	+	39.78	33.88	>	0	30	60
150	chr13	30260132	30260113	-	39.75	32.75	>	0	30	60
151	chr9	68015271	68015252	+	39.2	39.0	>	0	30	60
152	chr1	126993502	126993483	-	39.06	47.2	>	0	30	60
153	chr16	25349824	25349805	-	39.0	41.2	>	0	30	60
154	chr1	14729249	14729230	-	38.94	39.3	>	0	30	60
155	chr15	59389427	59389408	+	38.7	46.34	>	0	30	60
156	chr6	100882590	100882571	+	38.66	49.44	>	0	30	60
157	chr3	9711121	9711102	+	38.62	35.47	>	0	30	60
158	chr6	21214019	21214000	-	38.47	24.2	>	0	30	60
159	chr17	42603617	42603598	-	38.47	42.5	>	0	30	60
160	chr4	80517548	80517529	-	38.47	41.4	>	0	30	60
161	chr9	85328584	85328565	-	38.28	30.06	>	0	30	60
162	chr17	44262001	44261982	+	38.22	44.16	>	0	30	60
163	chr10	102449665	102449646	+	38.2	48.84	>	0	30	60
164	chr17	14520745	14520726	-	38.12	30.45	>	0	30	60
165	chr13	51830925	51830906	+	38.0	56.0	>	0	30	60
166	chr12	83502436	83502417	-	37.97	34.4	>	0	30	60
167	chr5	75853265	75853246	-	37.94	27.88	>	0	30	60
168	chr13	110382742	110382723	+	37.88	61.84	>	0	30	60
169	chr5	62481159	62481140	-	37.8	35.4	>	0	30	60
170	chr7	49121503	49121484	-	37.7	29.61	>	0	30	60
171	chr15	11966575	11966556	-	37.66	34.72	>	0	30	60
172	chr3	31146135	31146116	+	37.53	44.5	>	0	30	60
173	chr2	37815879	37815860	+	37.47	39.2	>	0	30	60
174	chr5	33033442	33033423	-	37.44	48.28	>	0	30	60
175	chr9	7595466	7595447	-	37.4	28.72	>	0	30	60
176	chr5	21641153	21641134	-	37.3	33.66	>	0	30	60
177	chr14	48367302	48367283	-	37.12	39.88	>	0	30	60
178	chr17	14524624	14524605	+	37.1	38.88	>	0	30	60
179	chr4	84064835	84064816	+	37.06	23.38	>	0	30	60
180	chr4	63368786	63368767	+	37.06	51.6	>	0	30	60
181	chr5	102149680	102149661	+	37.03	38.97	>	0	30	60
182	chr12	32897684	32897665	-	36.88	40.9	>	0	30	60
183	chr16	91936532	91936513	+	36.72	43.06	>	0	30	60
184	chr6	37046379	37046360	-	36.72	47.7	>	0	30	60
185	chr18	59081896	59081877	+	36.7	37.34	>	0	30	60
186	chr6	103697552	103697533	-	36.3	43.6	>	0	30	60
187	chr18	19937930	19937911	+	36.3	37.56	>	0	30	60
188	chr6	93757594	93757575	+	36.28	18.31	>	0	30	60
189	chr17	9756371	9756352	+	36.28	21.2	>	0	30	60
190	chr2	96585854	96585835	+	36.25	26.84	>	0	30	60
191	chr11	82915176	82915157	+	36.2	36.34	>	0	30	60
192	chr6	6005837	6005818	+	36.03	35.2	>	0	30	60
193	chr1	98392238	98392219	-	36.03	38.97	>	0	30	60
194	chr7	48749384	48749365	+	35.94	38.3	>	0	30	60
195	chr11	105911812	105911793	-	35.9	37.8	>	0	30	60
196	chr10	45045486	45045467	-	35.8	35.22	>	0	30	60
197	chr2	4492748	4492729	-	35.75	19.97	>	0	30	60
198	chr6	18087397	18087378	+	35.75	40.84	>	0	30	60
199	chr5	90203341	90203322	+	35.7	41.12	>	0	30	60
200	chr7	136489148	136489129	+	35.62	28.06	>	0	30	60
201	chr9	109862620	109862601	-	35.6	34.12	>	0	30	60
202	chr15	59876355	59876336	+	35.3	32.16	>	0	30	60
203	chr14	76473612	76473593	-	35.25	45.66	>	0	30	60
204	chr3	128349320	128349301	+	35.03	41.75	>	0	30	60
205	chr3	45375963	45375944	+	35.03	23.92	>	0	30	60
