chrom	start	end	boundary_span	jaspar_score	strand	FDR	DETECTION_SCALE	seq_id
chr8	83262212	83262231	83260000-83270000	835.0	+	0.0499942677303824	2.111212657236631	0
chr8	83268991	83269010	83260000-83270000	823.0	+	0.0499942677303824	2.111212657236631	1
chr8	83260600	83260619	83260000-83270000	958.0	+	0.0499942677303824	2.111212657236631	2
chr6	52211720	52211739	52210000-52220000	815.0	+	0.0499874134196794	2.111212657236631	3
chr6	52218693	52218712	52210000-52220000	812.0	-	0.0499874134196794	2.111212657236631	4
chr6	52214920	52214939	52210000-52220000	815.0	+	0.0499874134196794	2.111212657236631	5
chr6	38066489	38066508	38060000-38070000	901.0	-	0.0499874134196794	2.111212657236631	6
chr6	38069217	38069236	38060000-38070000	802.0	+	0.0499874134196794	2.111212657236631	7
chr6	38060708	38060727	38060000-38070000	830.0	-	0.0499874134196794	2.111212657236631	8
chr6	52212677	52212696	52210000-52220000	842.0	+	0.0499874134196794	2.111212657236631	9
chr13	30987446	30987465	30980000-30990000	820.0	+	0.0499824153824726	2.111212657236631	10
chr13	30986225	30986244	30980000-30990000	814.0	+	0.0499824153824726	2.111212657236631	11
chr13	30985890	30985909	30980000-30990000	804.0	+	0.0499824153824726	2.111212657236631	12
chr13	30981855	30981874	30980000-30990000	862.0	-	0.0499824153824726	2.111212657236631	13
chr5	16311452	16311471	16310000-16320000	854.0	+	0.0499709570554404	2.111212657236631	14
chr5	16312206	16312225	16310000-16320000	804.0	+	0.0499709570554404	2.111212657236631	15
chr5	16947594	16947613	16940000-16950000	911.0	+	0.0499709570554404	2.111212657236631	16
chr5	17766239	17766258	17760000-17770000	875.0	-	0.0499709570554404	2.111212657236631	17
chr5	4962118	4962137	4960000-4970000	907.0	+	0.0499709570554404	2.111212657236631	18
chr5	5261822	5261841	5260000-5270000	836.0	+	0.0499709570554404	2.111212657236631	19
chr5	5269436	5269455	5260000-5270000	815.0	-	0.0499709570554404	2.111212657236631	20
chr5	5266673	5266692	5260000-5270000	917.0	-	0.0499709570554404	2.111212657236631	21
chr8	85460966	85460985	85460000-85470000	879.0	+	0.0499258465797376	3.6758347359905126	22
chr8	86888091	86888110	86880000-86890000	810.0	-	0.0499258465797376	3.6758347359905126	23
chr8	85461317	85461336	85460000-85470000	807.0	-	0.0499258465797376	3.6758347359905126	24
chr12	79104511	79104530	79100000-79110000	819.0	-	0.0499195152382097	2.111212657236631	25
chr1	39680723	39680742	39680000-39690000	873.0	-	0.0498790000094483	2.111212657236631	26
chr1	39683876	39683895	39680000-39690000	800.0	+	0.0498790000094483	2.111212657236631	27
chr1	40542429	40542448	40540000-40550000	813.0	-	0.0498790000094483	2.111212657236631	28
chr1	40548254	40548273	40540000-40550000	820.0	+	0.0498790000094483	2.111212657236631	29
chr1	40544846	40544865	40540000-40550000	969.0	-	0.0498790000094483	2.111212657236631	30
chr1	40543050	40543069	40540000-40550000	840.0	-	0.0498790000094483	2.111212657236631	31
chr1	39686035	39686054	39680000-39690000	930.0	+	0.0498790000094483	2.111212657236631	32
chr9	20842857	20842876	20840000-20850000	847.0	-	0.0498662778395452	2.111212657236631	33
chr9	20849209	20849228	20840000-20850000	835.0	+	0.0498662778395452	2.111212657236631	34
chr9	20674721	20674740	20670000-20680000	847.0	+	0.0498662778395452	2.111212657236631	35
chr9	20846253	20846272	20840000-20850000	801.0	+	0.0498662778395452	2.111212657236631	36
chr9	20669986	20670005	20670000-20680000	807.0	-	0.0498662778395452	2.111212657236631	37
chr9	7052584	7052603	7050000-7060000	804.0	+	0.0498399352737264	2.111212657236631	38
chr9	11211510	11211529	11210000-11220000	826.0	-	0.0498399352737264	2.599207668339954	39
chr9	4526578	4526597	4520000-4530000	803.0	+	0.0498399352737264	2.599207668339954	40
chr12	107992753	107992772	107990000-108000000	814.0	-	0.0498358904188693	2.111212657236631	41
chr12	107086423	107086442	107080000-107090000	925.0	+	0.0498358904188693	2.111212657236631	42
chr12	107082580	107082599	107080000-107090000	803.0	+	0.0498358904188693	2.111212657236631	43
chr12	107087711	107087730	107080000-107090000	819.0	-	0.0498358904188693	2.111212657236631	44
chr12	107083310	107083329	107080000-107090000	822.0	+	0.0498358904188693	2.111212657236631	45
chr12	107990764	107990783	107990000-108000000	809.0	-	0.0498358904188693	2.111212657236631	46
chr12	107994172	107994191	107990000-108000000	845.0	+	0.0498358904188693	2.111212657236631	47
chr12	107086072	107086091	107080000-107090000	800.0	-	0.0498358904188693	2.111212657236631	48
chr12	107998948	107998967	107990000-108000000	847.0	-	0.0498358904188693	2.111212657236631	49
chr12	107993066	107993085	107990000-108000000	806.0	+	0.0498358904188693	2.111212657236631	50
chr19	34677345	34677364	34670000-34680000	841.0	+	0.0498191004886099	2.111212657236631	51
chr19	36079936	36079955	36070000-36080000	850.0	+	0.0498191004886099	2.111212657236631	52
chr19	34671898	34671917	34670000-34680000	809.0	+	0.0498191004886099	2.111212657236631	53
chr19	36079647	36079666	36070000-36080000	813.0	+	0.0498191004886099	2.111212657236631	54
chr7	109422949	109422968	109420000-109430000	801.0	+	0.0498070252766716	2.111212657236631	55
chr7	109239332	109239351	109230000-109240000	827.0	-	0.0498070252766716	2.111212657236631	56
chr7	109235442	109235461	109230000-109240000	826.0	+	0.0498070252766716	2.111212657236631	57
chr7	92107854	92107873	92100000-92110000	826.0	+	0.0498070252766716	2.599207668339954	58
chr7	92828259	92828278	92820000-92830000	802.0	-	0.0498070252766716	2.599207668339954	59
