chr	start	end	genome_window_start
chr1	3000320	22433792	3000320
chr1	3000320	22433792	3002368
chr1	3000320	22433792	3004416
chr1	3000320	22433792	3006464
chr1	3000320	22433792	3008512
chr1	3000320	22433792	3010560
chr1	3000320	22433792	3012608
chr1	3000320	22433792	3014656
chr1	3000320	22433792	3016704
chr1	3000320	22433792	3018752
chr1	3000320	22433792	3020800
chr1	3000320	22433792	3022848
chr1	3000320	22433792	3024896
chr1	3000320	22433792	3026944
chr1	3000320	22433792	3028992
chr1	3000320	22433792	3031040
chr1	3000320	22433792	3033088
chr1	3000320	22433792	3035136
chr1	3000320	22433792	3037184
chr1	3000320	22433792	3039232
chr1	3000320	22433792	3041280
chr1	3000320	22433792	3043328
chr1	3000320	22433792	3045376
chr1	3000320	22433792	3047424
chr1	3000320	22433792	3049472
chr1	3000320	22433792	3051520
chr1	3000320	22433792	3053568
chr1	3000320	22433792	3055616
chr1	3000320	22433792	3057664
chr1	3000320	22433792	3059712
chr1	3000320	22433792	3061760
chr1	3000320	22433792	3063808
chr1	3000320	22433792	3065856
chr1	3000320	22433792	3067904
chr1	3000320	22433792	3069952
chr1	3000320	22433792	3072000
chr1	3000320	22433792	3074048
chr1	3000320	22433792	3076096
chr1	3000320	22433792	3078144
chr1	3000320	22433792	3080192
chr1	3000320	22433792	3082240
chr1	3000320	22433792	3084288
chr1	3000320	22433792	3086336
chr1	3000320	22433792	3088384
chr1	3000320	22433792	3090432
chr1	3000320	22433792	3092480
chr1	3000320	22433792	3094528
chr1	3000320	22433792	3096576
chr1	3000320	22433792	3098624
chr1	3000320	22433792	3100672
chr1	3000320	22433792	3102720
chr1	3000320	22433792	3104768
chr1	3000320	22433792	3106816
chr1	3000320	22433792	3108864
chr1	3000320	22433792	3110912
chr1	3000320	22433792	3112960
chr1	3000320	22433792	3115008
chr1	3000320	22433792	3117056
chr1	3000320	22433792	3119104
chr1	3000320	22433792	3121152
chr1	3000320	22433792	3123200
chr1	3000320	22433792	3125248
chr1	3000320	22433792	3127296
chr1	3000320	22433792	3129344
chr1	3000320	22433792	3131392
chr1	3000320	22433792	3133440
chr1	3000320	22433792	3135488
chr1	3000320	22433792	3137536
chr1	3000320	22433792	3139584
chr1	3000320	22433792	3141632
chr1	3000320	22433792	3143680
chr1	3000320	22433792	3145728
chr1	3000320	22433792	3147776
chr1	3000320	22433792	3149824
chr1	3000320	22433792	3151872
chr1	3000320	22433792	3153920
chr1	3000320	22433792	3155968
chr1	3000320	22433792	3158016
chr1	3000320	22433792	3160064
chr1	3000320	22433792	3162112
chr1	3000320	22433792	3164160
chr1	3000320	22433792	3166208
chr1	3000320	22433792	3168256
chr1	3000320	22433792	3170304
chr1	3000320	22433792	3172352
chr1	3000320	22433792	3174400
chr1	3000320	22433792	3176448
chr1	3000320	22433792	3178496
chr1	3000320	22433792	3180544
chr1	3000320	22433792	3182592
chr1	3000320	22433792	3184640
chr1	3000320	22433792	3186688
chr1	3000320	22433792	3188736
chr1	3000320	22433792	3190784
chr1	3000320	22433792	3192832
chr1	3000320	22433792	3194880
chr1	3000320	22433792	3196928
chr1	3000320	22433792	3198976
chr1	3000320	22433792	3201024
chr1	3000320	22433792	3203072
chr1	3000320	22433792	3205120
chr1	3000320	22433792	3207168
chr1	3000320	22433792	3209216
chr1	3000320	22433792	3211264
chr1	3000320	22433792	3213312
chr1	3000320	22433792	3215360
chr1	3000320	22433792	3217408
chr1	3000320	22433792	3219456
chr1	3000320	22433792	3221504
chr1	3000320	22433792	3223552
chr1	3000320	22433792	3225600
chr1	3000320	22433792	3227648
chr1	3000320	22433792	3229696
chr1	3000320	22433792	3231744
chr1	3000320	22433792	3233792
chr1	3000320	22433792	3235840
chr1	3000320	22433792	3237888
chr1	3000320	22433792	3239936
chr1	3000320	22433792	3241984
chr1	3000320	22433792	3244032
chr1	3000320	22433792	3246080
chr1	3000320	22433792	3248128
chr1	3000320	22433792	3250176
chr1	3000320	22433792	3252224
chr1	3000320	22433792	3254272
chr1	3000320	22433792	3256320
chr1	3000320	22433792	3258368
chr1	3000320	22433792	3260416
chr1	3000320	22433792	3262464
chr1	3000320	22433792	3264512
chr1	3000320	22433792	3266560
chr1	3000320	22433792	3268608
chr1	3000320	22433792	3270656
chr1	3000320	22433792	3272704
chr1	3000320	22433792	3274752
chr1	3000320	22433792	3276800
chr1	3000320	22433792	3278848
chr1	3000320	22433792	3280896
chr1	3000320	22433792	3282944
chr1	3000320	22433792	3284992
chr1	3000320	22433792	3287040
chr1	3000320	22433792	3289088
chr1	3000320	22433792	3291136
chr1	3000320	22433792	3293184
chr1	3000320	22433792	3295232
chr1	3000320	22433792	3297280
chr1	3000320	22433792	3299328
chr1	3000320	22433792	3301376
