chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
chr7	37357871	37357852	-	26.2	67.6	>>>>>>	0	30	60
chr4	87368268	87368249	+	90.56	65.75	>>>>>>	0	30	60
chr2	172216047	172216028	-	29.77	65.06	>>>>>>	0	30	60
chr14	87452291	87452272	-	55.72	63.0	>>>>>>	0	30	60
chr8	112046096	112046077	+	29.5	62.6	>>>>>>	0	30	60
chr13	110382742	110382723	+	37.88	61.84	>>>>>>	0	30	60
chr6	64650119	64650100	-	60.56	60.88	>>>>>>	0	30	60
chr16	55477026	55477007	-	44.9	60.88	>>>>>>	0	30	60
chr13	109213188	109213169	-	42.6	60.5	>>>>>>	0	30	60
chr3	22309188	22309169	+	81.5	60.4	>>>>>>	0	30	60
chr7	118102455	118102436	-	43.53	59.94	>>>>>>	0	30	60
chr5	7996919	7996900	-	66.06	59.4	>>>>>>	0	30	60
chr4	151157152	151157133	+	33.53	59.38	>>>>>>	0	30	60
chr7	68369859	68369840	+	28.38	58.97	>>>>>>	0	30	60
chr11	113165316	113165297	-	51.88	57.94	>>>>>>	0	30	60
chr7	75910166	75910147	+	33.8	57.6	>>>>>>	0	30	60
chr1	120586671	120586652	+	53.8	57.06	>>>>>>	0	30	60
chr3	50906169	50906150	-	52.12	57.06	>>>>>>	0	30	60
chr13	89543228	89543209	-	48.3	56.84	>>>>>>	0	30	60
chr15	101984527	101984508	-	25.38	56.7	>>>>>>	0	30	60
chr16	72980067	72980048	-	68.3	56.7	>>>>>>	0	30	60
chr1	103799519	103799500	+	49.53	56.44	>>>>>>	0	30	60
chr18	33790258	33790239	-	57.72	56.3	>>>>>>	0	30	60
chr8	24546435	24546416	-	19.8	56.1	>>>>>>	0	30	60
chr8	41443763	41443744	+	57.34	56.06	>>>>>>	0	30	60
chr13	51830925	51830906	+	38.0	56.0	>>>>>>	0	30	60
chr10	5161770	5161751	-	79.2	55.88	>>>>>>	0	30	60
chr2	160598038	160598019	+	57.94	55.8	>>>>>>	0	30	60
chr19	20345737	20345718	+	20.7	55.44	>>>>>>	0	30	60
chr12	77000269	77000250	+	62.22	54.97	>>>>>>	0	30	60
chr1	179477262	179477243	-	45.97	54.9	>>>>>>	0	30	60
chr11	57467973	57467954	-	52.03	54.47	>>>>>>	0	30	60
chr16	89765698	89765679	-	48.38	54.0	>>>>>>	0	30	60
chr9	26776375	26776356	-	50.0	53.88	>>>>>>	0	30	60
chr2	73551006	73550987	+	30.86	53.72	>>>>>>	0	30	60
chr12	113216133	113216114	+	12.74	53.7	>>>>>>	0	30	60
chr10	13016733	13016714	+	30.1	53.44	>>>>>>	0	30	60
chr3	113080940	113080921	-	48.2	53.4	>>>>>>	0	30	60
chr5	117504639	117504620	+	16.36	53.34	>>>>>>	0	30	60
chr14	34810941	34810922	+	51.3	52.97	>>>>>>	0	30	60
chr6	31660958	31660939	+	28.53	52.9	>>>>>>	0	30	60
chr4	83596692	83596673	-	34.1	52.75	>>>>>>	0	30	60
chr13	57260119	57260100	-	34.25	52.66	>>>>>>	0	30	60
chr3	146185137	146185118	+	33.62	52.6	>>>>>>	0	30	60
chr16	64748455	64748436	-	44.47	52.25	>>>>>>	0	30	60
chr10	70963797	70963778	-	47.53	51.97	>>>>>>	0	30	60
chr14	12140114	12140095	-	65.1	51.62	>>>>>>	0	30	60
chr4	63368786	63368767	+	37.06	51.6	>>>>>>	0	30	60
chr9	49494135	49494116	+	52.4	51.5	>>>>>>	0	30	60
chr11	78838251	78838232	+	32.72	51.5	>>>>>>	0	30	60
chr2	155811920	155811901	-	22.36	51.28	>>>>>>	0	30	60
chr2	93199062	93199043	-	30.9	51.25	>>>>>>	0	30	60
chr9	103996726	103996707	-	64.9	51.25	>>>>>>	0	30	60
chr10	71422814	71422795	+	22.81	51.25	>>>>>>	0	30	60
chr14	29110872	29110853	-	40.66	51.22	>>>>>>	0	30	60
chr14	8356099	8356080	+	30.42	51.06	>>>>>>	0	30	60
chr8	35850598	35850579	-	54.5	50.94	>>>>>>	0	30	60
chr18	75606699	75606680	+	19.72	50.94	>>>>>>	0	30	60
chr5	49962010	49961991	-	54.16	50.88	>>>>>>	0	30	60
chr17	73303429	73303410	+	21.48	50.6	>>>>>>	0	30	60
chr4	109729491	109729472	-	26.06	50.3	>>>>>>	0	30	60
chr1	119087737	119087718	+	28.89	50.28	>>>>>>	0	30	60
chr4	81178889	81178870	+	62.03	50.0	>>>>>>	0	30	60
chr4	127368548	127368529	+	40.8	49.72	>>>>>>	0	30	60
chr6	101261740	101261721	-	51.0	49.47	>>>>>>	0	30	60
chr6	100882590	100882571	+	38.66	49.44	>>>>>>	0	30	60
chr11	77100337	77100318	+	55.88	49.25	>>>>>>	0	30	60
chr16	22564783	22564764	+	51.44	49.16	>>>>>>	0	30	60
chr10	102449665	102449646	+	38.2	48.84	>>>>>>	0	30	60
chr1	86598699	86598680	+	16.03	48.72	>>>>>>	0	30	60
chr9	80293262	80293243	+	45.3	48.66	>>>>>>	0	30	60
chr2	13278209	13278190	+	27.06	48.53	>>>>>>	0	30	60
chr1	144380222	144380203	-	63.4	48.44	>>>>>>	0	30	60
chr2	118638293	118638274	+	46.34	48.4	>>>>>>	0	30	60
chr4	70621553	70621534	-	40.97	48.38	>>>>>>	0	30	60
chr5	33033442	33033423	-	37.44	48.28	>>>>>>	0	30	60
chr3	153655318	153655299	-	48.72	48.28	>>>>>>	0	30	60
chr16	13117421	13117402	+	44.28	48.25	>>>>>>	0	30	60
chr9	51152608	51152589	-	51.8	48.22	>>>>>>	0	30	60
chr8	50293750	50293731	-	40.75	48.2	>>>>>>	0	30	60
chr12	92303388	92303369	+	47.12	48.12	>>>>>>	0	30	60
chr12	78056191	78056172	+	45.84	48.03	>>>>>>	0	30	60
chr16	41244935	41244916	-	55.72	48.0	>>>>>>	0	30	60
chr7	101653829	101653810	+	26.5	47.97	>>>>>>	0	30	60
chr11	109860827	109860808	-	89.2	47.97	>>>>>>	0	30	60
chr9	10909768	10909749	+	61.12	47.94	>>>>>>	0	30	60
chr19	20345158	20345139	-	32.25	47.94	>>>>>>	0	30	60
chr12	8306749	8306730	-	28.48	47.94	>>>>>>	0	30	60
chr7	138835232	138835213	-	29.02	47.88	>>>>>>	0	30	60
chr6	37046379	37046360	-	36.72	47.7	>>>>>>	0	30	60
chr7	118305013	118304994	+	59.5	47.62	>>>>>>	0	30	60
chr1	78724658	78724639	+	58.25	47.28	>>>>>>	0	30	60
chr17	86906334	86906315	-	41.97	47.25	>>>>>>	0	30	60
chr1	126993502	126993483	-	39.06	47.2	>>>>>>	0	30	60
chr16	72218227	72218208	+	42.38	47.1	>>>>>>	0	30	60
chr7	125393847	125393828	-	41.56	47.0	>>>>>>	0	30	60
chr13	81439574	81439555	+	64.94	46.94	>>>>>>	0	30	60
chr2	27770378	27770359	+	30.12	46.8	>>>>>>	0	30	60
chr15	32766485	32766466	-	60.56	46.62	>>>>>>	0	30	60
chr15	80704533	80704514	-	40.28	46.53	>>>>>>	0	30	60
chr7	37357871	37357852	-	26.2	67.6	<>>>>>	0	30	60
chr4	87368268	87368249	+	90.56	65.75	<>>>>>	0	30	60
chr2	172216047	172216028	-	29.77	65.06	<>>>>>	0	30	60
chr14	87452291	87452272	-	55.72	63.0	<>>>>>	0	30	60
chr8	112046096	112046077	+	29.5	62.6	<>>>>>	0	30	60
chr13	110382742	110382723	+	37.88	61.84	<>>>>>	0	30	60
chr6	64650119	64650100	-	60.56	60.88	<>>>>>	0	30	60
chr16	55477026	55477007	-	44.9	60.88	<>>>>>	0	30	60
chr13	109213188	109213169	-	42.6	60.5	<>>>>>	0	30	60
chr3	22309188	22309169	+	81.5	60.4	<>>>>>	0	30	60
chr7	118102455	118102436	-	43.53	59.94	<>>>>>	0	30	60
chr5	7996919	7996900	-	66.06	59.4	<>>>>>	0	30	60
chr4	151157152	151157133	+	33.53	59.38	<>>>>>	0	30	60
chr7	68369859	68369840	+	28.38	58.97	<>>>>>	0	30	60
chr11	113165316	113165297	-	51.88	57.94	<>>>>>	0	30	60
chr7	75910166	75910147	+	33.8	57.6	<>>>>>	0	30	60
chr1	120586671	120586652	+	53.8	57.06	<>>>>>	0	30	60
chr3	50906169	50906150	-	52.12	57.06	<>>>>>	0	30	60
chr13	89543228	89543209	-	48.3	56.84	<>>>>>	0	30	60
chr15	101984527	101984508	-	25.38	56.7	<>>>>>	0	30	60
chr16	72980067	72980048	-	68.3	56.7	<>>>>>	0	30	60
chr1	103799519	103799500	+	49.53	56.44	<>>>>>	0	30	60
chr18	33790258	33790239	-	57.72	56.3	<>>>>>	0	30	60
chr8	24546435	24546416	-	19.8	56.1	<>>>>>	0	30	60
chr8	41443763	41443744	+	57.34	56.06	<>>>>>	0	30	60
chr13	51830925	51830906	+	38.0	56.0	<>>>>>	0	30	60
chr10	5161770	5161751	-	79.2	55.88	<>>>>>	0	30	60
chr2	160598038	160598019	+	57.94	55.8	<>>>>>	0	30	60
chr19	20345737	20345718	+	20.7	55.44	<>>>>>	0	30	60
chr12	77000269	77000250	+	62.22	54.97	<>>>>>	0	30	60
chr1	179477262	179477243	-	45.97	54.9	<>>>>>	0	30	60
chr11	57467973	57467954	-	52.03	54.47	<>>>>>	0	30	60
chr16	89765698	89765679	-	48.38	54.0	<>>>>>	0	30	60
chr9	26776375	26776356	-	50.0	53.88	<>>>>>	0	30	60
chr2	73551006	73550987	+	30.86	53.72	<>>>>>	0	30	60
chr12	113216133	113216114	+	12.74	53.7	<>>>>>	0	30	60
