	chrom	end	start	strand	SCD_m0	SCD_m1	SCD_m2	SCD_m3	SCD_m4	SCD_m5	SCD_m6	SCD_m7	SCD
0	chr7	37357871	37357852	-	72.6	69.94	66.0	63.4	65.44	70.4	68.9	63.94	67.6
1	chr4	87368268	87368249	+	68.8	72.8	55.34	64.7	60.4	69.4	67.1	67.4	65.75
2	chr2	172216047	172216028	-	63.75	73.8	64.9	57.06	63.1	65.94	68.7	63.44	65.06
3	chr14	87452291	87452272	-	71.44	67.06	59.4	60.9	60.3	63.34	70.9	50.88	63.0
4	chr1	4770074	4770055	+	44.53	49.84	39.34	34.38	37.84	36.44	35.5	39.3	39.66
5	chr17	73302318	73302299	+	39.0	39.22	36.88	35.6	48.9	40.1	44.2	32.94	39.62
6	chr11	53255133	53255114	-	35.6	47.75	36.4	32.38	43.72	42.1	42.16	35.8	39.5
7	chr7	28741011	28740992	+	0.563	1.025	0.2408	0.375	1.085	0.3892	0.5737	0.4707	0.59
8	chr16	18242188	18242169	+	0.4636	0.8037	0.3884	0.716	0.53	0.72	0.3848	0.706	0.5894
9	chr17	4769652	4769633	-	0.73	0.63	0.4172	0.3416	0.587	0.3516	0.733	0.9233	0.589
