Unnamed: 0	chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
0	chr4	87368268	87368249	+	90.56	65.75	>	7	0	90
1	chr11	109860827	109860808	-	89.2	47.97	>	7	0	90
2	chr3	22309188	22309169	+	81.5	60.4	>	7	0	90
3	chr10	5161770	5161751	-	79.2	55.88	>	7	0	90
4	chr16	71247702	71247683	+	68.56	43.2	>	7	0	90
5	chr16	72980067	72980048	-	68.3	56.7	>	7	0	90
6	chr6	60556001	60555982	+	67.7	40.38	>	7	0	90
7	chr5	7996919	7996900	-	66.06	59.4	>	7	0	90
8	chr14	12140114	12140095	-	65.1	51.62	>	7	0	90
9	chr13	81439574	81439555	+	64.94	46.94	>	7	0	90
10	chr9	103996726	103996707	-	64.9	51.25	>	7	0	90
11	chr15	56066340	56066321	+	63.97	42.94	>	7	0	90
12	chr10	106609250	106609231	+	63.97	42.62	>	7	0	90
13	chr1	144380222	144380203	-	63.4	48.44	>	7	0	90
14	chr10	8240468	8240449	-	62.34	45.88	>	7	0	90
15	chr12	77000269	77000250	+	62.22	54.97	>	7	0	90
16	chr1	44745882	44745863	+	62.12	40.25	>	7	0	90
17	chr4	81178889	81178870	+	62.03	50.0	>	7	0	90
18	chr9	10909768	10909749	+	61.12	47.94	>	7	0	90
19	chr6	64650119	64650100	-	60.56	60.88	>	7	0	90
20	chr15	32766485	32766466	-	60.56	46.62	>	7	0	90
21	chr4	9135983	9135964	+	60.03	34.12	>	7	0	90
22	chr7	118305013	118304994	+	59.5	47.62	>	7	0	90
23	chr10	39520570	39520551	-	58.34	40.5	>	7	0	90
24	chr1	78724658	78724639	+	58.25	47.28	>	7	0	90
25	chr2	160598038	160598019	+	57.94	55.8	>	7	0	90
26	chr18	33790258	33790239	-	57.72	56.3	>	7	0	90
27	chr12	40837750	40837731	+	57.5	46.25	>	7	0	90
28	chr8	41443763	41443744	+	57.34	56.06	>	7	0	90
29	chr14	68494314	68494295	-	56.94	24.97	>	7	0	90
30	chr1	11657910	11657891	+	56.8	43.62	>	7	0	90
31	chr11	77100337	77100318	+	55.88	49.25	>	7	0	90
32	chr16	41244935	41244916	-	55.72	48.0	>	7	0	90
33	chr14	87452291	87452272	-	55.72	63.0	>	7	0	90
34	chr18	16217050	16217031	+	54.9	26.8	>	7	0	90
35	chr11	53255133	53255114	-	54.8	39.5	>	7	0	90
36	chr9	7216447	7216428	+	54.56	27.64	>	7	0	90
37	chr8	35850598	35850579	-	54.5	50.94	>	7	0	90
38	chr8	102781131	102781112	-	54.44	41.34	>	7	0	90
39	chr5	49962010	49961991	-	54.16	50.88	>	7	0	90
40	chr7	90410162	90410143	-	54.06	39.75	>	7	0	90
41	chr4	15328717	15328698	+	54.03	40.72	>	7	0	90
42	chr11	31949616	31949597	-	54.0	41.44	>	7	0	90
43	chr1	120586671	120586652	+	53.8	57.06	>	7	0	90
44	chr13	19698921	19698902	+	53.16	40.8	>	7	0	90
45	chr12	57825950	57825931	+	53.03	34.38	>	7	0	90
46	chr16	72215933	72215914	-	52.7	45.56	>	7	0	90
47	chr9	15685402	15685383	+	52.62	45.03	>	7	0	90
48	chr10	10321327	10321308	-	52.47	23.97	>	7	0	90
49	chr9	49494135	49494116	+	52.4	51.5	>	7	0	90
50	chr3	50906169	50906150	-	52.12	57.06	>	7	0	90
51	chr11	57467973	57467954	-	52.03	54.47	>	7	0	90
52	chr11	113165316	113165297	-	51.88	57.94	>	7	0	90
53	chr9	51152608	51152589	-	51.8	48.22	>	7	0	90
54	chr16	58299658	58299639	+	51.56	30.08	>	7	0	90
55	chr16	22564783	22564764	+	51.44	49.16	>	7	0	90
56	chr8	36523135	36523116	-	51.4	44.44	>	7	0	90
57	chr14	34810941	34810922	+	51.3	52.97	>	7	0	90
58	chr6	101261740	101261721	-	51.0	49.47	>	7	0	90
59	chr7	132213694	132213675	-	50.8	38.62	>	7	0	90
